Categoria,Título,Ano,Tipo,Diretor(a) / Criador(a),Ator/Voz 1,Ator/Voz 2,Ator/Voz 3,Ator/Voz 4,Ator/Voz 5,Ator/Voz 6,Ator/Voz 7,Ator/Voz 8,Ator/Voz 9,Ator/Voz 10
Ficção Científica,2001: Uma Odisseia no Espaço,1968,Filme,Stanley Kubrick,Keir Dullea,Gary Lockwood,William Sylvester,Daniel Richter,Robert Beatty,Sean Sullivan,Douglas Rain,Leonard Rossiter,Margaret Tyzack,Frank Miller
Ficção Científica,Blade Runner,1982,Filme,Ridley Scott,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,M. Emmet Walsh,Daryl Hannah,William Sanderson,Brion James,Joe Turkel,Joanna Cassidy
Ficção Científica,Interestelar,2014,Filme,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Michael Caine,Casey Affleck,Wes Bentley,Mackenzie Foy,Ellen Burstyn,John Lithgow,Matt Damon
Ficção Científica,Matrix,1999,Filme,Lana Wachowski e Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Gloria Foster,Joe Pantoliano,Marcus Chong,Julian Arahanga,Matt Doran,Belinda McClory
Ficção Científica,A Chegada,2016,Filme,Denis Villeneuve,Amy Adams,Jeremy Renner,Forest Whitaker,Michael Stuhlbarg,Mark O'Brien,Tzi Ma,Abigail Pniowsky,Julia Scarlett Dan,Jadyn Malone,Frank Schorpion
Ficção Científica,Dark,2017-2020,Série,Baran bo Odar e Jantje Friese (criadores),Louis Hofmann,Lisa Vicari,Andreas Pietschmann,Maja Schöne,Stephan Kampwirth,Paul Lux,Oliver Masucci,Jördis Triebel,Karoline Eichhorn,Moritz Jahn
Ficção Científica,Black Mirror,2011-presente,Série (antologia),Charlie Brooker (criador),Daniel Kaluuya,Hayley Atwell,Bryce Dallas Howard,Jerome Flynn,Andrew Scott,Fionn Whitehead,Jesse Plemons,Cristin Milioti,Jon Hamm,Anjana Vasan
Ficção Científica,Arquivo X,1993-2018,Série,Chris Carter (criador),David Duchovny,Gillian Anderson,Mitch Pileggi,Robert Patrick,Annabeth Gish,William B. Davis,Nicholas Lea,James Pickens Jr.,Chris Owens,Tom Braidwood
Ficção Científica,Ruptura,2022-presente,Série,Dan Erickson (criador); dir. principal Ben Stiller,Adam Scott,Britt Lower,Zach Cherry,Tramell Tillman,Jen Tullock,Dichen Lachman,Michael Chernus,John Turturro,Christopher Walken,Patricia Arquette
Ficção Científica,The Expanse,2015-2022,Série,Mark Fergus e Hawk Ostby (desenvolvedores),Thomas Jane,Steven Strait,Cas Anvar,Dominique Tipper,Wes Chatham,Shohreh Aghdashloo,Frankie Adams,Cara Gee,Florence Faivre,Shawn Doyle
Drama,O Poderoso Chefão,1972,Filme,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Robert Duvall,Diane Keaton,Talia Shire,Richard S. Castellano,Sterling Hayden,John Marley,Richard Conte
Drama,Um Sonho de Liberdade,1994,Filme,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Clancy Brown,Gil Bellows,James Whitmore,Mark Rolston,Jeffrey DeMunn,Larry Brandenburg
Drama,Forrest Gump,1994,Filme,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,Mykelti Williamson,Michael Conner Humphreys,Hanna Hall,Haley Joel Osment,Siobhan Fallon Hogan,Sam Anderson
Drama,Clube da Luta,1999,Filme,David Fincher,Brad Pitt,Edward Norton,Helena Bonham Carter,Meat Loaf,Zach Grenier,Jared Leto,Eion Bailey,David Andrews,Holt McCallany,Ezra Buzzington
Drama,Parasita,2019,Filme,Bong Joon-ho,Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-shik,Park So-dam,Lee Jung-eun,Jang Hye-jin,Park Myung-hoon,Jung Ji-so,Park Keun-rok
Drama,Breaking Bad,2008-2013,Série,Vince Gilligan (criador),Bryan Cranston,Aaron Paul,Anna Gunn,Dean Norris,RJ Mitte,Betsy Brandt,Giancarlo Esposito,Bob Odenkirk,Jonathan Banks,Laura Fraser
Drama,Succession,2018-2023,Série,Jesse Armstrong (criador),Brian Cox,Jeremy Strong,Sarah Snook,Kieran Culkin,Nicholas Braun,Hiam Abbass,Matthew Macfadyen,Alan Ruck,J. Smith-Cameron,Arian Moayed
Drama,Chernobyl,2019,Minissérie,Craig Mazin (criador); dir. Johan Renck,Jared Harris,Stellan Skarsgård,Emily Watson,Paul Ritter,Jessie Buckley,Adam Nagaitis,Con O'Neill,Adrian Rawlins,Barry Keoghan,David Dencik
Drama,The Crown,2016-2023,Série,Peter Morgan (criador),Claire Foy,Olivia Colman,Imelda Staunton,Matt Smith,Tobias Menzies,Vanessa Kirby,Helena Bonham Carter,John Lithgow,Emma Corrin,Elizabeth Debicki
Drama,Olhos que Condenam,2019,Minissérie,Ava DuVernay (criadora e diretora),Jharrel Jerome,Asante Blackk,Caleel Harris,Ethan Herisse,Michael K. Williams,Vera Farmiga,Felicity Huffman,Niecy Nash,Joshua Jackson,John Leguizamo
Suspense,Psicose,1960,Filme,Alfred Hitchcock,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin,Martin Balsam,John McIntire,Simon Oakland,Patricia Hitchcock,Frank Albertson,Lurene Tuttle
Suspense,O Silêncio dos Inocentes,1991,Filme,Jonathan Demme,Jodie Foster,Anthony Hopkins,Scott Glenn,Ted Levine,Anthony Heald,Brooke Smith,Diane Baker,Kasi Lemmons,Charles Napier,Frankie Faison
Suspense,Ilha do Medo,2010,Filme,Martin Scorsese,Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley,Michelle Williams,Emily Mortimer,Max von Sydow,Patricia Clarkson,Jackie Earle Haley,Ted Levine,Elias Koteas
